FECHA,ZONA,OCUPACION HOTELERA,TARIFA,HAB_DISPONIBLES,HAB_OCUPADAS,HUESPEDES_NAL,HUESPEDES_EXT
201501,El Poblado,0.6195,171907.0,54878,35933,37539.0,19727.0
201501,Laureles - Estadio,0.4576,106375.0,16400,9884,14096.0,2109.0
201501,Centro,0.4213,70498.0,9254,4824,8019.0,1272.0
201502,El Poblado,0.6645,165067.0,42966,30880,25363.0,15354.0
201502,Laureles - Estadio,0.4361,94986.0,14710,8310,8646.0,1004.0
201502,Centro,0.32939999999999997,69312.0,8456,3099,3402.0,1214.0
201503,El Poblado,0.6594,165814.0,51609,30924,24568.0,15976.0
201503,Laureles - Estadio,0.4119,98394.0,16332,7715,9043.0,383.0
201503,Centro,0.3345,67581.0,8649,3083,2772.0,427.0
201504,El Poblado,0.6884,164128.0,52848,36347,31813.0,9668.0
201504,Laureles - Estadio,0.39,98833.0,17458,7997,8073.0,190.0
201504,Centro,0.2953,74192.0,9288,3963,3995.0,653.0
201505,El Poblado,0.6746,165627.0,57294,39117,30711.0,19315.0
201505,Laureles - Estadio,0.4606,100017.0,18089,8773,9903.0,1379.0
201505,Centro,0.3425,78516.0,9641,3747,3063.0,712.0
201506,El Poblado,0.6573,159717.0,56514,38022,28413.0,14246.0
201506,Laureles - Estadio,0.449,100405.0,16593,8830,11018.0,1284.0
201506,Centro,0.4653,67473.0,8250,3291,3103.0,534.0
201507,El Poblado,0.7259,183508.0,79794,60571,43562.0,21362.0
201507,Laureles - Estadio,0.4915,114283.0,19158,13899,13126.0,1077.0
201507,Centro,0.4673,75127.0,8928,5492,4285.0,1549.0
201508,El Poblado,0.7726999999999999,186045.0,63583,51555,41461.0,23414.0
201508,Laureles - Estadio,0.5808,122649.0,27185,15546,23622.0,1290.0
201508,Centro,0.5253,68990.0,9467,5496,6387.0,1522.0
201509,El Poblado,0.8162,180096.0,65207,54129,43704.0,26509.0
201509,Laureles - Estadio,0.5611999999999999,109582.0,27017,16796,20647.0,1471.0
201509,Centro,0.5013000000000001,68531.0,8626,4808,7783.0,1371.0
201510,El Poblado,0.7509999999999999,174738.0,69185,52271,45339.0,22995.0
201510,Laureles - Estadio,0.5869,111316.0,32868,18618,24649.0,3362.0
201510,Centro,0.4636,62586.0,10870,5735,7121.0,1114.0
201511,El Poblado,0.7797,178520.0,66742,52405,48574.0,22665.0
201511,Laureles - Estadio,0.6136,110950.0,31718,21967,26462.0,3026.0
201511,Centro,0.494,65157.0,9875,5931,7440.0,827.0
201512,El Poblado,0.7513,193223.0,72532,57066,60659.0,25387.0
201512,Laureles - Estadio,0.6149,117194.0,32767,22569,30538.0,2989.0
201512,Centro,0.634,68141.0,11927,7402,11951.0,1110.0
201601,El Poblado,0.7105,199498.0,72712,51940,45971.0,29249.0
201601,Laureles - Estadio,0.5567,118590.0,27836,17499,24503.0,4106.0
201601,Centro,0.46240000000000003,60252.0,10601,6846,9197.0,1680.0
201602,El Poblado,0.7637999999999999,184963.0,68205,52922,39363.0,29704.0
201602,Laureles - Estadio,0.5351,109966.0,20677,13616,16055.0,1982.0
201602,Centro,0.3822,61867.0,7801,3636,4447.0,1584.0
201603,El Poblado,0.7526999999999999,189340.0,73416,55878,50777.0,31761.0
201603,Laureles - Estadio,0.4888,109681.0,27947,14676,22122.0,1445.0
201603,Centro,0.40740000000000004,73500.0,17562,8400,9796.0,1683.0
201604,El Poblado,0.7190000000000001,187113.0,66791,51048,38473.0,27929.0
